CONTRIBUTORS,"revtor,IcemanBHE,joako,lolo,rdl,StefanL,rondo,LPCapital"
LASTMODIFIED,20110827

0,0
0.35,0.35
0.5,0.5
0.50,0.50
0.65,0.65
0.7_sekunden,0.7 seconds
0.8_sekunden,0.8 seconds
0.80,0.80
0.9_l/min,0.9 liters per minute
0.9_sekunden,0.9 seconds
0_004nms/grad,
0_005nms/grad,
0_1sec,
0_35,
0_50,
0_5sec,
0_65,
0_80,
0_km,0 kilometers
0_km/h_japan,0 kilometers per hour (Japan)
0_liter,0 liters
0_mal,0 times
0_min,0 minutes
0_minuten,0 minutes
0_ms,0 milliseconds
0_rpm,0 revolutions per minute
0_sec,0 seconds
0_sek,0 seconds
0_sekunden,0 seconds
0_tage,0 days
0_unberechtigte_zugriffe,0 unauthorized accesses
0_wandler,
00_prozent,
000_ms,
02_sec,
04_sec,
04bh,
05_min,
0kmh,0 kilometers per hour
0min,0 minutes
0ms,0 milliseconds
0nms/grad,
0s,0 seconds
0sec,0 seconds
1,1
1.0_l/min,1.0 liter per minute
1.0_sekunden,1.0 seconds
1.1_l/sec,1.1 liter per second
1.1_sekunden,1.1 seconds
1.2_sekunden,1.2 seconds
1.25_l/sec,1.25 liter per second
1.3,1.3
1.3_sekunden,1.3 seconds
1.4_diesel,
1.4_diesel_sa988,
1.4_l/min,1.4 liter per minute
1.4_mini,
1.4_sekunden,1.4 seconds
1.47_hz,1.47 hertz
1.5_l/min,1.5 liters per minute
1.6_cooper,
1.6_cooper_auto,
1.6_cooper_cabr,
1.6_cooper_cabr_auto,
1.6_cooper_s,
1.6_cooper_s_auto,
1.6_cooper_s_cabr,
1.6_cooper_s_cabr_auto,
1.6_mini,
1.6_mini_auto,
1.6_mini_cabr,
1.6_sec,1.6 seconds
1.8_l/min,1.8 liters per minute
1.9_l/min,1.9 liters per minute
1.wert_schwelle,First value threshold
1_asic,
1_grad_minus,Minus 1 degree temperature
1_grad_plus,Plus 1 degree temperature
1_kanal,1-channel
1_mal,1 times
1_menu,
1_milliampere,1 milliampere
1_min,1 minute
1_monat,1 month
1_monate,1 months
1_schritt,1 step
1_sec,1 second
1_sek,1 second
1_stufe,1 stage
1_unberechtigte_zugriffe,1 unauthorized access
1_volt,1 volt
1_wandler,
1_wert_schwelle,
10.5_volt,10.5 volts
10_amp,10 amperes
10_days,10 days
10_kanal,10-channel
10_kmh,10 kilometers per hour
10_l,10 liters
10_liter,10 liters
10_mal,10 times
10_milliampere,10 milliamperes
10_min,10 minutes
10_proz_absenken,10% more
10_proz_anheben,10% less
10_sec,10 seconds
10_sek,10 seconds
10_sekunden,10 seconds
10_tage,10 days
10_volt,10 volts
10_wandler,
10_wecker,
10_zylinder,10-cylinder
100%,100%
100.000_km,100000 kilometers
100_liter,100 liters
100_ms,100 milliseconds
100_msec,100 milliseconds
100_prozent,100%
100_sec,100 seconds
1000_km,1000 kilometers
1000_ms,1000 milliseconds
1000_rpm,1000 revolutions per minute
10000_mv,10000 millivolts
10000_ohm,10000 ohms
1000ms,1000 milliseconds
100ms,100 milliseconds
102_l_stahl,120 liters steel
1050_ohm,1050 ohms
10500_mv,10500 millivolts
105a,
10ms,10 milliseconds
10s,10 seconds
10sec,10 seconds
10w_bulbs,10 watt bulbs
11.000_km,11000 kilometers
11.5_volt,11.5 volts
11_kanal,11-channel
11_mal,11 times
11_min,11 minutes
1100_ms,1100 milliseconds
11000_mv,11000 millivolts
110ah,110 ampere-hours
1150_ohm,1150 ohms
115kw,115 kilowatts
12.000_km,12000 kilometers
12.5_volt,12.5 volts
12_kanal,12-channel
12_km/h,12 kilometers per hour
12_l,12 liters
12_mal,12 times
12_s,12 seconds
12_sec,12 seconds
12_stunden,12 hours (AM/PM)
12_volt,12 volts
12_wandler,
12_zylinder,12-cylinder
12_zylinder_benziner,12-cylinder gasoline
120_grad,120 degrees
120_km/h,120 kilometers per hour
1204_hifi_mulf,
1204_hifi_mulf_e87,
1204_hifi_mulf_r56,
1204_stereo_mulf,
1204_stereo_mulf_e87,
1204_stereo_mulf_r56,
1204_top_hifi_mulf,
1204_top_hifi_mulf_e87,
120a,
120km/h,120 kilometers per hour
120seconds,120 seconds
121_grad_celsius,121 °C (250 °F)
125_grad_celsius,125 °C (257 °F)
127_grad_celsius,127 °C (261 °F)
12db,
12h,12 hours
12s,
13_liter,13 liters
13_mal,13 times
13_volt,13 volts
130_grad_celsius,130 °C (266 °F)
1300_ms,1300 milliseconds
1300ms,1300 milliseconds
13l_tank_k25_hp,
13l_tank_k25hp,
14_l,14 liters
14_mal,14 times
140_00,
140_01,
140_04,
140_07,
140_08,
140_09,
140_10,
140_16,
140_mph_ece,
146_ms,
14s,
15%,15%
15.000_km,15000 kilometers
15.5_liter,15.5 liters
15.500_mls,15500 miles
15_4_l,
15_grad,15 degrees
15_l,15 liters
15_liter,15 liters
15_mal,15 times
15_min,15 minutes
15_minuten,15 minutes
15_reps,
15_sekunden,15 seconds
150,150
150_00,
150_06,
150_07,
150_mph,150 miles per hour
150_mph_ece/us,150 miles per hour (Europe / USA)
150_ms,150 milliseconds
1500_ms,1500 milliseconds
15000_rpm,15000 revolutions per second
1500ms,1500 milliseconds
155_mph,155 miles per hour
155_mph_acc_e38,
155_mph_e38,155 miles per hour E38 (7 Series)
155_mph_e39,155 miles per hour E39 (5 Series)
15s,15 seconds
15sec,15 seconds
16.5_liter,16.5 liters
16_km/h,16 kilometers per hour
16_l,16 liters
16_liter,16 liters
16_min,16 minutes
16_s,16 seconds
16_sec,16 seconds
160_00,
160_mph_ece/us,160 miles per hour (Europe / USA)
1650_ohm,1650 ohms
168_stunden,168 hours
16l_tank_k71,
16l_tank_k72,
16min,16 minutes
16s,16 seconds
17_zoll_vorderrad,17 inch front wheel
170_00,
170_mph_ece,170 miles per hour (Europe)
170_mph_ece/us,170 miles per hour (Europe / USA)
18_l,18 liters
18_liter,18 liters
180/55_17,
180_mph_ece/us,180 miles per hour (Europe / USA)
1800_seg,
182_4us,
1825_tage,1825 days
185_mph_m5,185 miles per hour (M5)
1878_mm,
18l_tank_k29,
19_liter,19 liters
190/50_17,
190/55_17,
1903_mm,
1939_mm,
1979_mm,
1981_mm,
1994,1994
1995,1995
1996,1996
1997,1997
1998,1998
1999,1999
19l_tank_k28,
19l_tank_k40,
1a7h,
1c1h,
1x_tastendruck,Single key press
1-zylinder,1-cylinder
2,2
2.0_l/min,2.0 liters per minute
2.2_l/min,2.2 liters per minute
2_5hz,
2_amp,
2_asic,
2_grad_minus,Minus 2 degrees temperature
2_grad_plus,Plus 2 degrees temperature
2_imp/umdrehung,2 impulses per revolution
2_kanal,2-channel
2_keys,2 keys
2_mal,2 times
2_menu,
2_min,2 minutes
2_s,2 seconds
2_sec,2 seconds
2_sek,2 seconds
2_sekunden,2 seconds
2_service,
2_stufen,2 stages
2_tueren,2 doors
2_unberechtigte_zugriffe,2 unauthorized accesses
2_wandler,
20%,20%
20_km/h,20 kilometers per hour
20_l,20 liters
20_liter,20 liters
20_min,20 minutes
20_sec,20 seconds
20_sekunden,20 seconds
200_kmh,200 kilometers per hour
200_ms,200 milliseconds
200_rpm,200 revolutions per minute
2000,2000
2000_ms,2000 milliseconds
2000_rpm,2000 revolutions per minute
2000ms,2000 milliseconds
2001,2001
2002,2002
2003,2003
2004,2004
2005,2005
2006,2006
2047_tage,2047 days
208us,
20l_tank_k25,
20s,20 seconds
21.4_liter,21.4 liters
21_min,21 minutes
210_kmh,210 kilometers per hour
210_meter,210 meters
22.000_km,22000 kilometers
22_liter,22 liters
22_prozent,22%
220_km/h_ece,220 kilometers per hour (Europe)
220_km/h_jpn,220 kilometers per hour (Japan)
22868_imp/km,22868 impulses per kilometer
22l_tank_k25,
23_min,23 minutes
24%,24%
24.000_km,24000 kilometers
24.5_liter,24.5 liters
24_km/h,24 kilometers per hour
24_liter,24 liters
24_stunden,24 hours
240_km/h,240 kilometers per hour
240_km/h_ece,240 kilometers per hour (Europe)
240_km/h_ece/jpn,240 kilometers per hour (Europe/Japan)
240_stunden,240 hours
240mah,
240ms,240 milliseconds
24230_imp/km,24230 impulses per kilometer
249_6us,
24h,24 hours
24l_tank_k28,
24l_tank_k44,
25.000_km,25000 kilometers
25_grad,25 degrees
25_liter,25 liters
25_min,25 minutes
25_prozent,25%
25_s,25 seconds
25_sec,25 seconds
25_sek,25 seconds
25_sekunden,25 seconds
25_volt,25 volts
250_km/h,250 kilometers per hour
250_km/h_acc_e38,
250_km/h_acc_japan_e38,
250_km/h_japan,250 kilometers per hour (Japan)
25000_rpm,25000 revolutions per minute
25223_imp/km,25223 impulses per kilometer
25223_imp/km_voreilung,
255_sek,255 seconds
25559_imp/km,25559 impulses per kilometer
25l_tank_k26,
260_km/h_ece,260 kilometers per hour (Europe)
260_km/h_jpn,260 kilometers per hour (Japan)
26490_imp/km,26490 impulses per kilometer
26490_imp/km_voreilung,
26s,26 seconds
28_5s,
28_km/h,28 kilometers per hour
280_km/h_alpina,280 kilometers per hour (Alpina)
280_km/h_ece,280 kilometers per hour (Europe)
280_km/h_ece/jpn,280 kilometers per hour (Europe/Japan)
280_km/h_jpn,280 kilometers per hour (Japan)
2870_ohm,2870 ohms
29.952_km,29952 kilometers
2932,2932
299_kmph,299 kilometers per hour
29h,
2x_tastendruck,Double key press
2-zylinder,2-cylinder
3,3
3.5_l,3.5 liters
3_days,3 days
3_grad_minus,Minus 3 degrees temperature
3_grad_plus,Plus 3 degrees temperature
3_hz,3 hertz
3_imp/umdrehung,3 impulses per revolution
3_kanal,3-channel
3_klimastile,
3_kmh,3 kilometers per hour
3_mal,3 times
3_min,3 minutes
3_monate,3 months
3_s,3 seconds
3_sec,3 seconds
3_sekunden,3 seconds
3_service,
3_tage,3 days
3_wandler,
3_weeks,3 weeks
30%,30%
30.000_km,30000 kilometers
30_l,30 liters
30_mal,30 times
30_min,30 minutes
30_minuten,30 minutes
30_minutes,30 minutes
30_sec,30 seconds
30_sek,30 seconds
300_km/h_alpina,300 kilometers per hour (Alpina)
300_km/h_alpina_e39,
300_km/h_ece/jpn,300 kilometers per hour (Europe/Japan)
300_km/h_m5,300 kilometers per hour (M5)
300_km/h_m5_japan,300 kilometers per hour (M5/Japan)
300_ms,300 milliseconds
300ms,300 milliseconds
300u/min,300 revolutions per minute
30kmh,30 kilometers per hour
30s,30 seconds
30sec,30 seconds
32.200_km,32200 kilometers
32_liter_adv_tue,
32_sec,32 seconds
320_km/h_alpina,320 kilometers per hour (Alpina)
3281,3281
335_tage,335 days
340_km/h_alpina,340 kilometers per hour (Alpina)
3488_u/min,3488 revolutions per minute
35_liter,35 liters
35_liter_adv_mue,
35_min,35 minutes
350_meter,350 meters
365_tage,365 days
37_liter,37 liters
37_liter_k25adv,
37l_tank_k25adv_folie,
37l_tank_k25adv_hebel,
38%,38%
3808_u/min,3808 revolutions per minute
3861_imp/km,3861 impulses per kilometers
3900_imp/km,3900 impulses per kilometers
39374_imp/km,39374 impulses per kilometers
3960_imp/km,3960 impulses per kilometers
3sec,3 seconds
4,4
4.0_l,4.0 liters
4.5_l,4.5 liters
4.5_sec,4.5 seconds
4_imp/umdrehung,4 impulses per revolution
4_impulse_ritzel,
4_kanal,4-channel
4_km/h,4 kilometers per hour
4_liter,4 liters
4_mal,4 times
4_min,4 minutes
4_s,4 seconds
4_sec,4 seconds
4_sensoren,4 sensors
4_tueren,4 doors
4_wandler,
4_wheel,4 wheels
4_zylinder,4-cylinder
4_zylinder_benziner,4-cylinder gasoline
4_zylinder_diesel,4-cylinder diesel
4_zylinder_diesel_m47,4-cylinder diesel (M47)
40,40
40%,40%
40_steps,40 steps
400_ms,400 milliseconds
4000_imp/km,4000 impulses per kilometer
400ms,400 milliseconds
40226_imp/km,40226 impulses per kilometer
40227_imp/km,40227 impulses per kilometer
40987_imp/km,40987 impulses per kilometer
40988_imp/km,40988 impulses per kilometer
40ah_agm,40 ampere-hours (AGM)
40seconds,40 seconds
41533_imp/km,41533 impulses per kilometer
41534_imp/km,41534 impulses per kilometer
4218_imp/km,4218 impulses per kilometer
4229_imp/km,4229 impulses per kilometer
4260_imp/km,4260 impulses per kilometer
4282_imp/km,4282 impulses per kilometer
4331_imp/km,4331 impulses per kilometer
