;Zusbauvorschrift fÅr NP Kaltstart M50TUE
;mit Logistik MS40.0 May & Christie
;Erstellt mit NAP100.PRG V1.00/16.9.94
;ZB-ALT,ZB-NEU ,NP-SW    ,AM         ,S,M CS
1703643,1744493,1427105NA,1FFFFFFFFFD,1,1 6
1703645,1744495,1427106NA,1FFFFFFFFFD,1,1 H
1703647,1744497,1427149NA,1FFFFFFFFFD,1,1 2
1703649,1744501,1427107NA,1FFFFFFFFFD,1,1 2
1703651,1744505,1427108NA,1FFFFFFFFFD,1,1 M
1703653,1744509,1427109NA,1FFFFFFFFFD,1,1 Z
1703655,1744499,1427110NA,1FFFFFFFFFD,1,1 5
1703859,1744503,1427111NA,1FFFFFFFFFD,1,1 U
1703861,1744507,1427112NA,1FFFFFFFFFD,1,1 E
1703863,1744511,1427113NA,1FFFFFFFFFD,1,1 K
1740247,1744495,1427114NA,1FFFFFFFFFD,1,1 F
1740249,1744493,1427115NA,1FFFFFFFFFD,1,1 M
1740251,1744497,1427116NA,1FFFFFFFFFD,1,1 6
1740253,1744505,1427117NA,1FFFFFFFFFD,1,1 N
1740255,1744501,1427118NA,1FFFFFFFFFD,1,1 S
1740257,1744503,1427119NA,1FFFFFFFFFD,1,1 3
1740259,1744507,1427120NA,1FFFFFFFFFD,1,1 N
1740261,1744509,1427121NA,1FFFFFFFFFD,1,1 5
1740263,1744511,1427122NA,1FFFFFFFFFD,1,1 9
1703343,1744493,1427123NA,1FFFFFFFFFD,1,1 T
1703345,1744495,1427124NA,1FFFFFFFFFD,1,1 4
1703347,1744497,1427125NA,1FFFFFFFFFD,1,1 F
1703349,1744501,1427126NA,1FFFFFFFFFD,1,1 S
1703351,1744505,1427127NA,1FFFFFFFFFD,1,1 C
1703353,1744509,1427128NA,1FFFFFFFFFD,1,1 P
1703355,1744499,1427129NA,1FFFFFFFFFD,1,1 O
1703534,1744503,1427130NA,1FFFFFFFFFD,1,1 3
1703536,1744507,1427131NA,1FFFFFFFFFD,1,1 G
1703538,1744511,1427132NA,1FFFFFFFFFD,1,1 M
1703327,1744493,1427133NA,1FFFFFFFFFD,1,1 4
1703357,1744499,1427133NA,1FFFFFFFFFD,1,1 D
1703329,1744495,1427134NA,1FFFFFFFFFD,1,1 F
1703331,1744497,1427135NA,1FFFFFFFFFD,1,1 X
1703333,1744509,1427136NA,1FFFFFFFFFD,1,1 I
1703335,1744501,1427137NA,1FFFFFFFFFD,1,1 J
1703337,1744505,1427138NA,1FFFFFFFFFD,1,1 W
1703339,1703339,1427139NA,1FFFFFFFFFD,1,1 9
1703404,1744495,1427140NA,1FFFFFFFFFD,1,1 Q
1703406,1744505,1427141NA,1FFFFFFFFFD,1,1 9
1703494,1744495,1427142NA,1FFFFFFFFFD,1,1 5
1748643,1744493,1427143NA,1FFFFFFFFFD,1,1 L
1748675,1744499,1427143NA,1FFFFFFFFFD,1,1 0
1748645,1744495,1427144NA,1FFFFFFFFFD,1,1 W
1748647,1744497,1427145NA,1FFFFFFFFFD,1,1 7
1748649,1744501,1427146NA,1FFFFFFFFFD,1,1 K
1748651,1744505,1427147NA,1FFFFFFFFFD,1,1 4
1748653,1744509,1427148NA,1FFFFFFFFFD,1,1 H
1738777,1740326,1740318NA,1FFFFFFFFFD,1,1 P
1738781,1740330,1740318NA,1FFFFFFFFFD,1,1 5
1738779,1740328,1740319NA,1FFFFFFFFFD,1,1 0
1738782,1740331,1740319NA,1FFFFFFFFFD,1,1 C
1738952,1740326,1740318NA,1FFFFFFFFFD,1,1 E
1738958,1740330,1740318NA,1FFFFFFFFFD,1,1 T
1738954,1740328,1740319NA,1FFFFFFFFFD,1,1 P
1738959,1740331,1740319NA,1FFFFFFFFFD,1,1 0
1748210,1740326,1740320NA,1FFFFFFFFFD,1,1 Z
1748214,1740330,1740320NA,1FFFFFFFFFD,1,1 8
1748212,1740328,1740321NA,1FFFFFFFFFD,1,1 A
1748215,1740331,1740321NA,1FFFFFFFFFD,1,1 F
1703788,1740332,1740322NA,1FFFFFFFFFD,1,1 X
1703810,1740336,1740322NA,1FFFFFFFFFD,1,1 9
1703790,1740334,1740323NA,1FFFFFFFFFD,1,1 F
1703811,1740337,1740323NA,1FFFFFFFFFD,1,1 G
; NA-Zusbauvorschrift fuer MDS410 vom 24.02.1997
;ZB-ALT ZB-NEU  NA-SW     AM-VARIANTE S M CS
1427888,1429405,1429708NA,0FFFFFFFFFD,1,1 9
1427596,1429405,1429709NA,0FFFFFFFFFD,1,1 Y
1427540,1429405,1429710NA,0FFFFFFFFFD,1,1 L
1427904,1429407,1429711NA,0FFFFFFFFFD,1,1 A
1429353,1429413,1429712NA,0FFFFFFFFFD,1,1 Y
1427896,1429409,1429713NA,0FFFFFFFFFD,1,1 U
1427731,1429409,1429714NA,0FFFFFFFFFD,1,1 9
