ECU_ADR;ECU_NAME;ECU_SGBD;ID_DATUM;ID_HW_NR;ID_BMW_NR;ID_SG_ADR;ECU_GRUPPE;ID_LIEF_NR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;ID_COD_INDEX;ID_DATUM_TAG;ID_LIEF_TEXT;ID_SW_NR_FSV;ID_SW_NR_MCV;ID_SW_NR_OSV;ID_SW_NR_RES;ID_VAR_INDEX;SERIENNUMMER;ID_DATUM_JAHR;ID_DIAG_INDEX;ID_DATUM_MONAT
72;Fussraum Modul Fahrerseite;FRM_70;06.12.2011;12;9308374;114;D_KBM;9;OKAY;BC,F1,72,5A,80,00,00,09,30,83,74,12,32,0E,60,56,45,20,11,12,06,09,00,13,09,11,0A,00,04,14,00,00,00,00,00,00,09,20,62,33,13,39,31,0A,30,30,39,32,45,47,30,30,30,39,32,45,47,30,46,35,31,30,41,87;C2,EF,F1,1A,80;FRM;50;6;Loewe => Lear;17.10.0;0.19.9;4.20.0;0.0.0;22085;01339310A;2011;3680;12
00;Junction Box Beifahrer;JBBF70;10.02.2011;02;9292708;0;D_ZGM;9;OKAY;9F,F1,00,5A,80,00,00,09,29,27,08,02,40,0D,D0,57,45,20,11,02,10,09,00,1E,29,02,54,00,03,0A,00,00,00,00,7C;;JBBF;64;10;Loewe => Lear;2.84.0;0.30.41;3.10.0;0.0.0;22341;;2011;3536;2
5E;Gangwahlschalter;GWS_70;11.09.2009;01;9228826;94;D_GWS;2;OKAY;BC,F1,5E,5A,80,00,00,09,22,88,26,01,08,0E,30,50,48,20,09,09,11,02,00,1E,1A,37,16,01,03,0A,00,00,00,00,00,00,09,19,79,74,EC,45,4A,4B,30,30,32,32,41,33,31,30,30,32,32,41,33,31,46,30,32,31,41,36;;GWS;8;11;Kostal;55.22.1;0.30.26;3.10.0;0.0.0;20552;0EC454A4B;2009;3632;9
40;Car Access System 2 / 3;CAS;06.08.2011;C4;9287534;64;D_CAS;4;OKAY;BC,F1,40,5A,80,00,00,09,28,75,34,C4,09,06,A0,53,41,20,11,08,06,04,00,00,00,02,08,01,03,03,00,00,00,00,00,00,06,94,38,06,30,31,39,30,30,30,34,32,4A,4C,44,30,30,34,32,4A,4C,44,46,32,32,39,53,14;;CAS;9;6;Siemens;2.8.1;0.0.0;3.3.0;0.0.0;21313;030313930;2011;1696;8
6B;Heckklappenlift;HKL_70;29.11.2007;10;7335274;107;D_HKL;8;OKAY;BC,F1,6B,5A,80,00,00,07,33,52,74,10,14,0D,70,53,51,20,07,11,29,08,00,14,CD,02,04,00,04,02,01,00,00,00,00,00,07,31,74,19,19,00,23,41,30,30,38,32,47,4C,30,30,30,38,32,47,4C,30,46,30,38,30,42,0A;;HKL;20;29;Bosch;2.4.0;0.20.205;4.2.1;0.0.0;21329;019002341;2007;3440;11
71;Anhängermodul;AHM_70;12.09.2011;02;6850497;113;D_AHM;7;OKAY;BC,F1,71,5A,80,00,00,06,85,04,97,02,11,11,70,56,50,20,11,09,12,07,00,1F,E2,02,09,00,04,02,01,00,00,00,00,00,09,18,61,74,12,49,00,97,30,30,37,32,43,4B,30,30,30,37,32,43,4B,30,46,30,39,30,41,D4;;AHM;17;12;Helbako;2.9.0;0.31.226;4.2.1;0.0.0;22096;012490097;2011;4464;9
2A;Elektromechanische Feststellbremse;EMF_70;13.10.2011;05;6850289;42;D_EMF;56;OKAY;BC,F1,2A,5A,80,00,00,06,85,02,89,05,04,0D,10,50,45,20,11,10,13,56,00,17,96,05,3C,00,03,0A,00,FF,FF,FF,00,00,06,78,22,05,00,00,08,61,30,35,36,31,36,45,30,30,35,36,31,36,45,30,46,32,39,30,53,54;;EMF;4;13;Siemens VDO Automotive;5.60.0;0.23.150;3.10.0;255.255.255;20549;000000861;2011;3344;10
27;Passive Go System;PGS_65_2;24.10.2011;00;9134707;39;D_PGS;4;OKAY;9F,F1,27,5A,80,00,00,09,13,47,07,00,04,02,61,4B,5A,20,11,10,24,04,00,0C,1E,09,10,00,03,03,00,00,00,00,B9;;PGS;4;24;Siemens;9.16.0;0.12.30;3.3.0;0.0.0;19290;;2011;609;10
06;Top-, Rear, Sideview Kamera;TRSVC70;27.04.2008;03;9291387;6;D_TRSVC;11;OKAY;BC,F1,06,5A,80,00,00,09,29,13,87,03,09,12,80,57,5A,20,08,04,27,11,00,21,9E,D3,40,60,04,02,02,FF,FF,FF,00,00,09,25,31,26,00,00,65,00,30,31,31,32,49,5A,31,30,31,31,32,49,5A,31,46,30,35,30,41,79;;STVR/TEBF;9;27;Valeo;211.64.96;0.33.158;4.2.2;255.255.255;22362;000006500;2008;4736;4
20;Reifen Druck Control Low Cost BN2000;RDCKWP;26.10.2011;09;6793122;32;D_RDC;75;OKAY;9F,F1,20,5A,80,00,00,06,79,31,22,09,00,12,C0,58,5A,20,11,10,26,75,00,1F,32,02,07,03,04,02,02,00,00,00,2A;;RDC;0;26;BERU Electronics GmbH;2.7.3;0.31.50;4.2.2;0.0.0;22618;;2011;4800;10
