F_ANZ;ECU_ADR;ID_SG_ADR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;F_ART1_NR;F_ART2_NR;F_ORT1_NR;F_ORT2_NR
0;12;;OKAY;82,F1,12,58,00,DD;C4,EF,F1,18,02,FF,FF;DME/DDE;;;;
0;00;;OKAY;82,F1,00,58,00,CB;;JBBF;;;;
0;17;;OKAY;82,F1,17,58,00,E2;;EKP;;;;
0;40;;OKAY;82,F1,40,58,00,0B;;CAS;;;;
0;78;;OKAY;82,F1,78,58,00,43;;KLIMA;;;;
2;72;72;OKAY;88,F1,72,58,02,9C,C1,64,9C,C2,64,C8;;FRM;64;64;9CC1;9CC2
0;29;;OKAY;82,F1,29,58,00,F4;;DSC;;;;
0;60;;OKAY;82,F1,60,58,00,2B;;KOMBI;;;;
0;18;;OKAY;82,F1,18,58,00,E3;;EGS;;;;
0;1C;;OKAY;82,F1,1C,58,00,E7;;LDM/ICM;;;;
0;62;;OKAY;82,F1,62,58,00,2D;;MOSTGW;;;;
0;01;;OKAY;82,F1,01,58,00,CC;;MRS;;;;
;92;;ERROR_ECU_SERVICE_NOT_SUPPORTED;83,F1,92,7F,18,11,AE;;VIRTSG92;;;;
0;63;;OKAY;82,F1,63,58,00,2E;;MASK/CCC;;;;
1;56;56;OKAY;85,F1,56,58,01,A6,70,61,9C;;FZD;61;;A670;
;;;OKAY;;;;;;;
