Time;01. Engine Speed (rpm);02. Torque (Nm);03. Engine Temp (°C);04. Battery Voltage (V);05. Throttle Valve IST (°TPS);06. Throttle Valve SOLL (°TPS);07. Inlet Air Pressure (mBar);08. Inlet Air Flow (kg/h);09. Inlet Air Temp (°C);10. Oil Pressure IST ((0/1));11. Oil Pressure SOLL (NaN);12. Oil Pressure Valve (NaN);13. Oil Temperature (°C);14. Oil Level (mm);15. Fuel Pump (l/h);16. Rail Pressure (kPa);17. VANOS (In) (%);18. VANOS (Out) (%);19. Water Pump IST (rpm);20. Water Pump SOLL (rpm);21. Tank Vent Valve (%)
0,004 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.4;70.9;0;600;11.01;11.01;0;0;0
0,391 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.4;70.9;0;600;11.01;11.01;0;0;0
0,763 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.4;70.61;0;600;11.01;11.01;0;0;0
1,140 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.4;70.61;0;600;11.01;11.01;0;0;0
1,514 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
1,890 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
2,283 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
2,654 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
3,055 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
3,432 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
3,818 ms;0;16;32.25;11.98;8.07;8.17;0;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
4,185 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
4,564 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
4,951 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
5,323 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
5,713 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
6,105 ms;0;16;32.25;11.98;8.07;8.17;0;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
6,491 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
6,870 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
7,254 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.9;0;600;11.01;11.01;0;0;0
7,644 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.61;0;600;11.01;11.01;0;0;0
8,022 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.61;0;600;11.01;11.01;0;0;0
8,408 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.61;0;600;11.01;11.01;0;0;0
8,795 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.61;0;600;11.01;11.01;0;0;0
9,184 ms;0;16;32.25;11.98;8.07;8.17;1.08;8.75;21.75;0;0;0;23.5;70.61;0;600;11.01;11.01;0;0;0
;;;;;;;;;;;;;;;;;;;;;
