Results;SA_Code;Description
BR;E64_;E60
LACK;0475;Saphirschwarz Metallic 
SA_1;1CA;Selection of COP relevant vehicles
SA_2;205;Automatic transmission
SA_3;217;Active steering
SA_4;229;Dynamic drive
SA_5;248;Steering-wheel heating
SA_6;255;Sports leather steering wheel
SA_7;302;Alarm system
SA_8;319;Integrated universal remote control
SA_9;354;Windscreen with green shade band
C_TYP;EK73;E64 Convertible N62B44 LHD US
SA_10;389;Softtop grey
SA_11;423;Floor mats in velour
SA_12;430;Interior and exterior mirrors with automatic anti-dazzle function
SA_13;431;Interior rear-view mirror with automatic anti-dazzle function
SA_14;437;Fine-wood trim
SA_15;441;Smoker's package
SA_16;442;Cupholder
SA_17;459;Seat adjustment, electrical with memory
SA_18;464;Skibag
SA_19;481;Sport seats for driver and front passenger
SA_20;494;Seat heating for driver and front passenger
SA_21;502;Headlight washer system
SA_22;508;Park distance control
SA_23;522;Xenon Light
SA_24;524;Adaptive headlight
SA_25;534;Automatic air conditioning
SA_26;540;Cruise control
SA_27;563;Lights package
SA_28;595;Light alloy wheels ellipsoid styling 121 with runflat tyres and mixed tyres
SA_29;605;Telematics preparation
SA_30;609;Navigation system Professional
SA_31;620;Voice control
SA_32;639;Full preparation package mobile phone USA/CDN including Telematics
SA_33;645;Radio control US
SA_34;677;HiFi system Professional
SA_35;697;Area code 1 for DVD
SA_36;785;White direction indicator lights
SA_37;818;Battery master switch
SA_38;823;Hot-climate version
SA_39;845;Acoustic seat-belt warning
SA_40;853;Language version English
SA_41;876;Radio frequency 315 MHz
SA_42;925;Shipping protection package
SA_43;992;Control of number-plate attachment
C_DATE;0604;06.2004
SA_ANZ;43;E60
POLSTER;LCGE;E60
VERSION;02;E60
E_WORT_1;B110;Battery 110 Ah, DO
E_WORT_2;NMUW;New MUW sensors E63/E64
HO_WORT_1;IPOD;Retrofit, iPod interface
E_WORT_ANZ;2;E60
JOB_STATUS;OKAY;E60
ZUSBAU_ANZ;0;E60
HO_WORT_ANZ;1;E60
STANDARD_FA;E64_#0604*EK73%0475&LCGE$1CA$205$217$229$248$255$302$319$354$389$423$430$431$437$441$442$459$464$481$494$502$508$522$524$534$540$563$595$605$609$620$639$645$677$697$785$818$823$845$853$876$925$992-B110-NMUW+IPOD;E60
