F_ANZ;ECU_ADR;F_ART1_NR;F_ART2_NR;F_ORT1_NR;F_ORT2_NR;ID_SG_ADR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME
2;12;40;4;12111;2E98 !  DME2: Alternator, communication;18;OKAY;88,F1,12,58,02,2F,4F,28,2E,98,04,55;C4,EF,F1,18,02,FF,FF;DME/DDE
1;00;33;;A6CF !  JBE: AUC sensor;;0;OKAY;85,F1,00,58,01,A6,CF,21,65;;JBBF
0;17;;;;;23;OKAY;82,F1,17,58,00,E2;;EKP
0;40;;;;;64;OKAY;82,F1,40,58,00,0B;;CAS
0;78;;;;;120;OKAY;82,F1,78,58,00,43;;KLIMA
0;72;;;;;114;OKAY;82,F1,72,58,00,3D;;FRM
0;6D;;;;;109;OKAY;82,F1,6D,58,00,38;;FAS
1;29;168;;5E18 !  DSC: Engine management: interface;;41;OKAY;85,F1,29,58,01,5E,18,A8,16;;DSC
0;60;;;;;96;OKAY;82,F1,60,58,00,2B;;KOMBI
0;62;;;;;98;OKAY;82,F1,62,58,00,2D;;MOSTGW
1;18;97;;511B !  EGS: Fault, coding;;24;OKAY;85,F1,18,58,01,51,1B,61,B4;;EGS
0;01;;;;;1;OKAY;82,F1,01,58,00,CC;;MRS
0;1C;;;;;28;OKAY;82,F1,1C,58,00,E7;;LDM/ICM
;92;;;;;146;ERROR_ECU_SERVICE_NOT_SUPPORTED;83,F1,92,7F,18,11,AE;;VIRTSG92
0;63;;;;;99;OKAY;82,F1,63,58,00,2E;;MASK/CCC
0;56;;;;;86;OKAY;82,F1,56,58,00,21;;FZD
;;;;;;;OKAY;;;
