F_ANZ;ECU_ADR;ID_SG_ADR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME
0;00;0;OKAY;82,F1,00,58,00,CB;C4,EF,F1,18,02,FF,FF;JBBF
0;17;23;OKAY;82,F1,17,58,00,E2;;EKP
0;12;18;OKAY;82,F1,12,58,00,DD;;DME/DDE
0;40;64;OKAY;82,F1,40,58,00,0B;;CAS
0;78;120;OKAY;82,F1,78,58,00,43;;KLIMA
0;72;114;OKAY;82,F1,72,58,00,3D;;FRM
0;6D;109;OKAY;82,F1,6D,58,00,38;;FAS
0;60;96;OKAY;82,F1,60,58,00,2B;;KOMBI
0;29;41;OKAY;82,F1,29,58,00,F4;;DSC
0;62;98;OKAY;82,F1,62,58,00,2D;;MOSTGW
;92;146;ERROR_ECU_SERVICE_NOT_SUPPORTED;83,F1,92,7F,18,11,AE;;VIRTSG92
0;18;24;OKAY;82,F1,18,58,00,E3;;EGS
0;01;1;OKAY;82,F1,01,58,00,CC;;MRS
0;1C;28;OKAY;82,F1,1C,58,00,E7;;LDM/ICM
0;63;99;OKAY;82,F1,63,58,00,2E;;MASK/CCC
0;56;86;OKAY;82,F1,56,58,00,21;;FZD
;;;OKAY;;;
