F_ANZ;ECU_ADR;F_ART1_NR;F_ORT1_NR;ID_SG_ADR;JOB_STATUS;_TEL_ANTWORT;_TEL_AUFTRAG;ECU_GROBNAME;F_ART2_NR;F_ART3_NR;F_ART4_NR;F_ART5_NR;F_ART6_NR;F_ORT2_NR;F_ORT3_NR;F_ORT4_NR;F_ORT5_NR;F_ORT6_NR
1;00;97;A6CF !  JBE: AUC sensor;0;OKAY;85,F1,00,58,01,A6,CF,61,A5;C4,EF,F1,18,02,FF,FF;JBBF;;;;;;;;;;
0;17;;;23;OKAY;82,F1,17,58,00,E2;;EKP;;;;;;;;;;
6;12;162;10705;18;OKAY;94,F1,12,58,06,29,D1,A2,2D,EB,22,29,D9,22,29,CF,A2,29,CC,82,2D,67,02,96;;DME/DDE;34;34;162;130;2;11755;10713;10703;10700;2D67 !  DME: High-pressure fuel injector 2, Highside, activation
0;78;;;120;OKAY;82,F1,78,58,00,43;;KLIMA;;;;;;;;;;
1;18;97;578E !  EGS: Gearbox oil: wear;24;OKAY;85,F1,18,58,01,57,8E,61,2D;;EGS;;;;;;;;;;
2;40;33;41136;64;OKAY;88,F1,40,58,02,A0,B0,21,A1,0A,22,51;;CAS;34;;;;;A10A;;;;
0;6D;;;109;OKAY;82,F1,6D,58,00,38;;FAS;;;;;;;;;;
0;72;;;114;OKAY;82,F1,72,58,00,3D;;FRM;;;;;;;;;;
0;60;;;96;OKAY;82,F1,60,58,00,2B;;KOMBI;;;;;;;;;;
2;29;168;24089;41;OKAY;88,F1,29,58,02,5E,19,A8,5D,E3,20,7B;;DSC;32;;;;;5DE3 !  DSC: Brake-pad wear: brake pads, rear axle;;;;
0;62;;;98;OKAY;82,F1,62,58,00,2D;;MOSTGW;;;;;;;;;;
0;01;;;1;OKAY;82,F1,01,58,00,CC;;MRS;;;;;;;;;;
;92;;;146;ERROR_ECU_SERVICE_NOT_SUPPORTED;83,F1,92,7F,18,11,AE;;VIRTSG92;;;;;;;;;;
0;63;;;99;OKAY;82,F1,63,58,00,2E;;MASK/CCC;;;;;;;;;;
0;56;;;86;OKAY;82,F1,56,58,00,21;;FZD;;;;;;;;;;
;;;;;OKAY;;;;;;;;;;;;;
