;SWT-Logistikdatei 'SWTconf0.dat'
#SWTconf.dat Generierung vom 11.04.14
#Abzulegen im Verzeichnis 'data\gdaten' des Servicepakets
#Die ersten Zeilen wurden nicht systemseitig generiert. Sie werden von der Applikation CarServer benötigt und dürfen nicht geändert werden.
#AN,SG-Name,PABD,PSGBD,SGBD,FABD,Auth.,SWT-Typ
-,-,-,-,00SWTKWP,00SWTKWP,Keine,-
0x10,JNAV60,08010200JNAV60,10FLASH,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x10,JNAV60,08010200JNAV60,10FLASH,00SWTKWP,01swtkwp,Asymetrisch,classic full
0x13,MSS70,07MSS70,08FLASH,00SWTKWS,00swtkws,Asymetrisch,short light
0x14,BMSKP2,07mbmskp,05bmskp2,00SWTKWP,01swtkwp,Asymetrisch,classic light
0x14,BMSKP6,07mbmskp,05bmskp2,00SWTKWP,01swtkwp,Asymetrisch,classic light
0x14,BMSKP7,07mbmskp,05bmskp2,00SWTKWP,01swtkwp,Asymetrisch,classic light
0x16,MSS60,06MSS60,10FLASH,00SWTKWP,01swtkwp,Asymetrisch,classic light
0x17,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x17,CM63F1,08010406CM63F1,33CM63F1_01,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x19,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x19,CM63F1,08010406CM63F1,33CM63F1_01,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x1B,CH63F1,01010407CH63F1,11FLASH4,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x1B,CH63PKR,01010407CH63F1,11FLASH4,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x1B,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x1B,CM63F1,08010406CM63F1,33CM63F1_01,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x1C,MED172,32MED172,06ME17,00SWTKWP,00swtkwp,Asymetrisch,classic light
0x1D,JNAV60,08010200JNAV60,10FLASH,00SWTKWP,00swtkwp,Asymetrisch,short light
0x1E,BMSKP2,07mbmskp,05bmskp2,00SWTKWP,01swtkwp,Asymetrisch,classic light
0x1E,BMSKP6,07mbmskp,05bmskp2,00SWTKWP,01swtkwp,Asymetrisch,classic light
0x1F,MED172,32MED172,06ME17,00SWTKWP,00swtkwp,Asymetrisch,classic light
0x2,CC6360,50CC6360,48CC6360,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x2,CC6360,50CC6360,48CC6360,00SWTKWP,01swtkwp,Asymetrisch,classic full
0x24,CH63F1,01010407CH63F1,11FLASH4,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x24,CH63PKR,01010407CH63F1,11FLASH4,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x25,DSC56,04dscr56,11FLASH,00SWTKWP,00swtdsc,Asymetrisch,classic light
0x27,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,classic full
0x28,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x2D,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x2F,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x30,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x35,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x36,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x37,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x38,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x39,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x3A,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
0x3B,CI63F1,08010408CI63F1,33CI63F1_10,00SWTKWP,00swtkwp,Asymetrisch,short light
