SIGNATURE : 00010001010163 02
---------------
0000 - DATEINAME - S - NAME
0001 - SWT_EINTRAG - WS - KEYID,KEYWORD
---------------
SWT_EINTRAG : 001A "A_QUER_OFFSET_D"
SWT_EINTRAG : 1600 "TV_ABSCHALTUNG"
SWT_EINTRAG : 0007 "A_QUER_ZUSCHALT_MAX"
SWT_EINTRAG : 142C "A2DP_AUDIO_STREAMING"
SWT_EINTRAG : 142D "AACN_DATA_SEND"
SWT_EINTRAG : 1178 "ABBIEGELICHT_CKM_0"
SWT_EINTRAG : 1179 "ABBIEGELICHT_CKM_1"
SWT_EINTRAG : 117A "ABBIEGELICHT_CKM_2"
SWT_EINTRAG : 117B "ABBIEGELICHT_CKM_3"
SWT_EINTRAG : 117C "ABBL_LZ_PROZENT"
SWT_EINTRAG : 117D "ABBL_LZ_RKW"
SWT_EINTRAG : 13A3 "ABBL_LZ_STAND"
SWT_EINTRAG : 0AC2 "ABBLENDZEIT_1_LCD"
SWT_EINTRAG : 0AC7 "ABBLENDZEIT_1_LCD_FOND"
SWT_EINTRAG : 0AC3 "ABBLENDZEIT_2_LCD"
SWT_EINTRAG : 0AC8 "ABBLENDZEIT_2_LCD_FOND"
SWT_EINTRAG : 117E "ABK_KNICK"
SWT_EINTRAG : 117F "ABK_MIN_PROZ"
SWT_EINTRAG : 1180 "ABK_VERLAENG"
SWT_EINTRAG : 0A76 "ABKUEHLFAKTOR"
SWT_EINTRAG : 13A4 "ABL_AUS_BEI_FL_LH_EIN"
SWT_EINTRAG : 036F "ABSCHALT_GESCHWINDIGKEIT"
SWT_EINTRAG : 0360 "ABSCHALTMELDUNG"
SWT_EINTRAG : 0824 "ABSCHALTPUNKT_OBEN"
SWT_EINTRAG : 0463 "ABSCHALTUNG_EKP_CRASH"
SWT_EINTRAG : 0122 "ABSCHALTUNG_KL_R"
SWT_EINTRAG : 0993 "ABSCHALTUNG_RFS"
SWT_EINTRAG : 1181 "ABSCHALTUNG_RFS_1"
SWT_EINTRAG : 0123 "ABSCHALTUNG_RUHE"
SWT_EINTRAG : 0370 "ABSCHALTWEG"
SWT_EINTRAG : 0E14 "ABSCHW_D_TAU_HI"
SWT_EINTRAG : 1182 "ABSCHW_D_TAU_HI_SP"
SWT_EINTRAG : 0E15 "ABSCHW_D_TAU_LO"
SWT_EINTRAG : 1188 "ABSCHW_D_TAU_LO_SP"
SWT_EINTRAG : 0E16 "ABSCHWAECH_D_TAU"
SWT_EINTRAG : 118F "ABSCHWAECH_D_TAU_SP"
SWT_EINTRAG : 00B0 "ABSENK_ENTERTAINMENT_PDC"
SWT_EINTRAG : 05F1 "ABSENKUNG_10_KM/H"
SWT_EINTRAG : 0884 "ABST_ENDT_VOR_PH_2_KI_BFH"
SWT_EINTRAG : 0896 "ABST_ENDT_VOR_PH_2_KI_BFS"
SWT_EINTRAG : 08A8 "ABST_ENDT_VOR_PH_2_KI_FAH"
SWT_EINTRAG : 0872 "ABST_ENDT_VOR_PH_2_KI_FAS"
